,accuracy,macro_f1,macro_precision,macro_recall,top_3_accuracy
Random Forest,0.9954545454545455,0.9954517027687758,0.9956709956709957,0.9954545454545454,1.0
AdaBoost,0.8931818181818182,0.8801276373009229,0.8938311688311689,0.8931818181818181,1.0
